average_mfi,lower_limit,upper_limit,assay,standard
41020.12012987013,24362.378235506672,57677.86202423358,AFP,Standard1
29187.636363636364,19603.91533494285,38771.35739232988,CA15-3,Standard1
51218.77597402597,39882.84154046386,62554.710407588085,CCL20,Standard1
45892.43831168831,29601.428624829026,62183.44799854759,EGF,Standard1
52452.08766233766,26486.66561575482,78417.5097089205,FLT3L,Standard1
77871.49675324676,51943.5764222015,103799.41708429201,HGF,Standard1
26531.243506493505,18252.375136254588,34810.11187673242,IL-1 R2,Standard1
61883.045454545456,47093.59021347753,76672.50069561339,IL-6,Standard1
52431.405844155845,40035.40854631048,64827.40314200121,IL-8,Standard1
93615.93831168831,71910.05760319029,115321.81902018633,KLK3,Standard1
44273.28246753247,31916.271305566715,56630.29362949822,MUC-16,Standard1
32284.91883116883,16941.180527189434,47628.65713514823,OPN,Standard1
69175.21923076923,56372.69878412205,81977.73967741642,CEA,Standard1
44207.91923076923,33897.50380124132,54518.334660297136,IL-6Ra,Standard1
48671.31538461539,34797.185854357995,62545.44491487278,MIF,Standard1
62051.39615384615,50946.660324885546,73156.13198280676,THBS2,Standard1
42738.765384615384,35143.672973595094,50333.857795635675,TNC,Standard1
71878.97307692308,58840.56320848021,84917.38294536596,WFDC2,Standard1
56137.769230769234,43372.263729292856,68903.27473224561,cMET,Standard1
69618.4923076923,54106.917404789725,85130.06721059488,uPAR,Standard1
25553.58766233766,16377.493062300106,34729.682262375216,AFP,Standard2
25868.83116883117,17330.14300826317,34407.51932939917,CA15-3,Standard2
20953.35064935065,7994.174203803677,33912.527094897625,CCL20,Standard2
23296.78896103896,17678.338103789545,28915.239818288377,EGF,Standard2
12436.59090909091,3299.824944229158,21573.35687395266,FLT3L,Standard2
30845.844155844155,20630.130102319963,41061.55820936835,HGF,Standard2
12074.76948051948,8725.451303211636,15424.087657827326,IL-1 R2,Standard2
23352.698051948053,18313.863614335118,28391.53248956099,IL-6,Standard2
23145.08116883117,15494.410570945389,30795.751766716952,IL-8,Standard2
49252.83766233766,31079.827123836396,67425.84820083893,KLK3,Standard2
14836.42857142857,11243.187011594033,18429.67013126311,MUC-16,Standard2
14363.386363636364,7818.893749305283,20907.878977967444,OPN,Standard2
18104.56923076923,14261.527774823093,21947.610686715365,CEA,Standard2
22332.003846153846,14336.623755967485,30327.383936340208,IL-6Ra,Standard2
19277.315384615384,9250.561402866582,29304.069366364187,MIF,Standard2
17751.815384615384,13239.130852281258,22264.49991694951,THBS2,Standard2
18570.884615384617,13246.276406240731,23895.492824528505,TNC,Standard2
40669.70769230769,33726.80405218173,47612.61133243365,WFDC2,Standard2
32151.846153846152,25177.12760563271,39126.56470205959,cMET,Standard2
18986.03076923077,14456.61891152817,23515.442626933367,uPAR,Standard2
9513.064935064935,6416.246592062938,12609.88327806693,AFP,Standard3
14369.415584415585,9744.992723748242,18993.838445082925,CA15-3,Standard3
3063.0811688311687,796.658262413901,5329.5040752484365,CCL20,Standard3
7433.107142857143,5440.223748136779,9425.990537577507,EGF,Standard3
2713.961038961039,919.6858601047534,4508.236217817324,FLT3L,Standard3
6223.36038961039,4371.39731286326,8075.3234663575195,HGF,Standard3
3661.5064935064934,2612.2188250723457,4710.794161940641,IL-1 R2,Standard3
5959.698051948052,4566.747704054899,7352.648399841205,IL-6,Standard3
6777.438311688312,3981.203185733499,9573.673437643125,IL-8,Standard3
14637.077922077922,7428.267849756929,21845.887994398916,KLK3,Standard3
3808.7045454545455,2657.5347787881497,4959.874312120941,MUC-16,Standard3
3636.9025974025976,1831.6311686038202,5442.1740262013755,OPN,Standard3
