...1,xponent_id,sample_type,well_id,well_row,well_column,assay,dilution_factor,conc_units,standard_expected_concentration,bead_count,median_mfi,avg_median_mfi,pct_cv_median_mfi,net_mfi,avg_net_mfi,calc_conc,avg_conc,conc_pct_cv,pct_recovery,Control1_control_expected_concentration,Control2_control_expected_concentration,Control1_control_range_low,Control2_control_range_low,Control1_control_range_high,Control2_control_range_high,calc_conc_truncated,avg_conc_truncated,calc_conc_standards_min,calc_conc_standards_max,calc_conc_min_truncated,calc_conc_max_truncated,avg_conc_standards_min,avg_conc_standards_max,avg_conc_min_truncated,avg_conc_max_truncated,conc_pct_cv_truncated,kit_lot,instrument_serial,computer_name,run_date,file_name,xponent_comments,FN_comments,panel
264,Assay Buffer,sample,B9,B,9,CXCL8,1,pg/mL,NA,42,84.5,88.04545454545455,8.141199719873535,-0.8728070175438524,-0.537878787878783,0.202384887598311,0.202384887598311,NA,NA,NA,NA,NA,NA,NA,NA,2.20101841583123,NA,2.20101841583123,2586.84834558087,TRUE,FALSE,2.33528421601749,2403.88562939985,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;calc_conc truncated  at standard min;;;;,panel_1
528,Assay Buffer,sample,B9,B,9,FLT3LG,1,pg/mL,NA,38,54.5,54.61742424242424,10.368259439284897,2.691860465116283,2.70075757575757,5.29296875,5.29296875,NA,NA,NA,NA,NA,NA,NA,NA,5.29296875,NA,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
792,Assay Buffer,sample,B9,B,9,IL1R2,1,pg/mL,NA,41,62,61.60227272727273,10.462168703153464,3.2261904761904736,3.2689393939394,28.212890625,28.212890625,NA,NA,NA,NA,NA,NA,NA,NA,28.212890625,NA,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
1188,Assay Buffer,sample,B9,B,9,MUC16,1,U/mL,NA,38,53,49.28409090909091,13.951198852646945,5.206140350877193,5.28409090909091,1.34672151527471,1.34672151527471,NA,NA,NA,NA,NA,NA,NA,NA,14.1529789025353,NA,14.1529789025353,17364.6698914781,TRUE,FALSE,15.8144548044881,16010.1405819246,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;calc_conc truncated  at standard min;;;;,panel_1
1596,Background0,background,M1,M,1,CXCL8,NA,pg/mL,NA,43,98,88.58333333333333,9.1391692878275,8.289719460643127e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20101841583123,2586.84834558087,FALSE,FALSE,2.33528421601749,2403.88562939985,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
1608,Background0,background,M1,M,1,FLT3LG,NA,pg/mL,NA,55,51,51.91666666666666,7.470353950703109,6.087759058433691e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
1620,Background0,background,M1,M,1,IL1R2,NA,pg/mL,NA,42,67,58.333333333333336,8.23333195626417,-5.292207644336244e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
1639,Background0,background,M2,M,2,MUC16,NA,U/mL,NA,42,48,44,15.431131997061778,-1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1529789025353,17364.6698914781,FALSE,FALSE,15.8144548044881,16010.1405819246,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
1668,Beta Std1,sample,A3,A,3,CXCL8,1,pg/mL,NA,51,52115,52276.66666666666,1.291871235102974,52091.2166666667,52188.0833333333,2385.10195168758,2409.61845274633,3.76036146915184,NA,NA,NA,NA,NA,NA,NA,2385.10195168758,2403.88562939985,2.20101841583123,2586.84834558087,FALSE,FALSE,2.33528421601749,2403.88562939985,FALSE,TRUE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;avg_conc truncated  at standard max;;,panel_1
1680,Beta Std1,sample,A3,A,3,FLT3LG,1,pg/mL,NA,70,67652.5,68437.25,1.9755956489415645,68385.3333333333,68385.3333333333,3548.15908851279,3589.43599100488,1.97874941007623,NA,NA,NA,NA,NA,NA,NA,3548.15908851279,3589.43599100488,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
