assay,xponent_id,net_mfi,sample_type,standard_expected_concentration,units,bead_count,file_name
AFP,PltSet1 Std1,49516.25,standard,37004.3,pg/ml,61,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std1,50530.75,standard,37004.3,pg/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std1,48800.25,standard,37004.3,pg/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std1,50577.25,standard,37004.3,pg/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std1,49331.25,standard,37004.3,pg/ml,51,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std1,49031.25,standard,37004.3,pg/ml,65,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,42942.9166666667,standard,6046.1,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,41674.4166666667,standard,6046.1,pg/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,43519.9166666667,standard,6046.1,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,42378.4166666667,standard,6046.1,pg/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,43127.9166666667,standard,6046.1,pg/ml,39,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,41766.9166666667,standard,6046.1,pg/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,49269.9166666667,standard,3339045,pg/ml,52,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,51219.4166666667,standard,3339045,pg/ml,55,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,57771.4166666667,standard,3339045,pg/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,54494.9166666667,standard,3339045,pg/ml,56,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,54218.4166666667,standard,3339045,pg/ml,61,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,54056.4166666667,standard,3339045,pg/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,49844.25,standard,4.75,IU/ml,55,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,49197.75,standard,4.75,IU/ml,38,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,50155.25,standard,4.75,IU/ml,62,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,50605.25,standard,4.75,IU/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,49209.25,standard,4.75,IU/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,47906.25,standard,4.75,IU/ml,59,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,30885.0833333333,standard,32.3,IU/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,34622.0833333333,standard,32.3,IU/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,50067.5833333333,standard,32.3,IU/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,44046.5833333333,standard,32.3,IU/ml,58,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,41428.0833333333,standard,32.3,IU/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,41601.0833333333,standard,32.3,IU/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std1,67051.4166666667,standard,383.6,IU/ml,52,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std1,67051.9166666667,standard,383.6,IU/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std1,71826.9166666667,standard,383.6,IU/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
