alpha,p,x_bar,x2_sided_lower,x2_sided_upper,assay,xponent_id
0.05,0.99,46374.0703125,38410.87524650149,54337.26537849851,AFP,Standard1
0.05,0.99,32349.7109375,28468.79019063015,36230.63168436985,CA15-3,Standard1
0.05,0.99,54213.59375,47702.495121734915,60724.692378265085,CCL20,Standard1
0.05,0.99,50795.375,42311.0871056539,59279.6628943461,EGF,Standard1
0.05,0.99,49708.125,11966.791264619605,87449.4587353804,FLT3L,Standard1
0.05,0.99,84116.609375,67433.19102694817,100800.02772305183,HGF,Standard1
0.05,0.99,29085.90625,25716.88634675043,32454.92615324957,IL-1 R2,Standard1
0.05,0.99,64952.8671875,52153.974181436795,77751.76019356321,IL-6,Standard1
0.05,0.99,54265.96875,40338.917731461246,68193.01976853875,IL-8,Standard1
0.05,0.99,99262.984375,85692.15786201201,112833.81088798799,KLK3,Standard1
0.05,0.99,47423.3203125,40445.388017234596,54401.252607765404,MUC-16,Standard1
0.05,0.99,36933.453125,30261.917382843825,43604.98886715618,OPN,Standard1
0.05,0.99,69509.27083333333,58069.659355590484,80948.88231107617,CEA,Standard1
0.05,0.99,42938.40972222222,35268.41318489155,50608.40625955289,IL-6Ra,Standard1
0.05,0.99,47918.319444444445,43244.51350277208,52592.12538611681,MIF,Standard1
0.05,0.99,61941.916666666664,50225.3565489458,73658.47678438753,THBS2,Standard1
0.05,0.99,42269.118055555555,37414.778066466315,47123.458044644794,TNC,Standard1
0.05,0.99,72477.99305555556,64106.211107623574,80849.77500348755,WFDC2,Standard1
0.05,0.99,57256.895833333336,51331.4248582053,63182.366808461375,cMET,Standard1
0.05,0.99,70812.09722222222,62044.00350439741,79580.19094004703,uPAR,Standard1
0.05,0.99,28332.0625,23730.269919441438,32933.85508055856,AFP,Standard2
0.05,0.99,28723.75,25745.18055037058,31702.31944962942,CA15-3,Standard2
0.05,0.99,18480.4921875,3059.3529463001323,33901.63142869987,CCL20,Standard2
0.05,0.99,24568.984375,20836.635009211153,28301.333740788847,EGF,Standard2
0.05,0.99,10982.9453125,1672.6346296116644,20293.255995388336,FLT3L,Standard2
0.05,0.99,30684.0625,20456.772088163623,40911.35291183638,HGF,Standard2
0.05,0.99,12918.859375,10905.934373774637,14931.784376225363,IL-1 R2,Standard2
0.05,0.99,23261.4609375,17579.369442838182,28943.552432161818,IL-6,Standard2
0.05,0.99,22009.2265625,12648.655765796453,31369.79735920355,IL-8,Standard2
0.05,0.99,48274.1640625,27766.161178453844,68782.16694654616,KLK3,Standard2
0.05,0.99,15461.0703125,13106.63509170511,17815.50553329489,MUC-16,Standard2
0.05,0.99,16025.7890625,11774.797265359255,20276.780859640745,OPN,Standard2
0.05,0.99,17909.04861111111,14512.203891763775,21305.893330458443,CEA,Standard2
0.05,0.99,19507.909722222223,11473.837763859818,27541.981680584628,IL-6Ra,Standard2
0.05,0.99,17786.222222222223,15382.457381587566,20189.98706285688,MIF,Standard2
0.05,0.99,17610.333333333332,14158.721446191845,21061.94522047482,THBS2,Standard2
0.05,0.99,16721.402777777777,11288.998723326244,22153.80683222931,TNC,Standard2
0.05,0.99,41334.020833333336,37116.443535768594,45551.59813089808,WFDC2,Standard2
0.05,0.99,32012,26847.70158333143,37176.29841666857,cMET,Standard2
0.05,0.99,18675.04861111111,15450.062423347452,21900.034798874767,uPAR,Standard2
0.05,0.99,10302.6796875,8016.248759735756,12589.110615264244,AFP,Standard3
0.05,0.99,15712.8828125,13509.028550035975,17916.737074964025,CA15-3,Standard3
