assay,panel,alpha,p,x_bar,x2_sided_lower,x2_sided_upper,xponent_id
AFP,1,0.05,0.99,46374.0703125,38410.87524650149,54337.26537849851,Standard1
AFP,1,0.05,0.99,28332.0625,23730.269919441438,32933.85508055856,Standard2
AFP,1,0.05,0.99,10302.6796875,8016.248759735756,12589.110615264244,Standard3
AFP,1,0.05,0.99,2884.9375,2165.634438306407,3604.240561693593,Standard4
AFP,1,0.05,0.99,833.140625,588.1649795005033,1078.1162704994967,Standard5
AFP,1,0.05,0.99,321.5546875,202.49119303302416,440.61818196697584,Standard6
CA15-3,1,0.05,0.99,32349.7109375,28468.79019063015,36230.63168436985,Standard1
CA15-3,1,0.05,0.99,28723.75,25745.18055037058,31702.31944962942,Standard2
CA15-3,1,0.05,0.99,15712.8828125,13509.028550035975,17916.737074964025,Standard3
CA15-3,1,0.05,0.99,4120.1953125,3246.5709819338754,4993.819643066125,Standard4
CA15-3,1,0.05,0.99,979.6484375,778.7089629914199,1180.5879120085801,Standard5
CA15-3,1,0.05,0.99,307.1875,196.57650867585465,417.79849132414535,Standard6
CCL20,1,0.05,0.99,54213.59375,47702.495121734915,60724.692378265085,Standard1
CCL20,1,0.05,0.99,18480.4921875,3059.3529463001323,33901.63142869987,Standard2
CCL20,1,0.05,0.99,2883.359375,1056.610299898207,4710.108450101793,Standard3
CCL20,1,0.05,0.99,741.203125,449.8697882273606,1032.5364617726395,Standard4
CCL20,1,0.05,0.99,287.531746031746,141.5975000078135,433.46599205567856,Standard5
CCL20,1,0.05,0.99,135.4296875,103.81591622165107,167.04345877834893,Standard6
EGF,1,0.05,0.99,50795.375,42311.0871056539,59279.6628943461,Standard1
EGF,1,0.05,0.99,24568.984375,20836.635009211153,28301.333740788847,Standard2
EGF,1,0.05,0.99,7825.8125,6225.698661116492,9425.926338883508,Standard3
EGF,1,0.05,0.99,2315.3671875,1828.3616291020562,2802.372745897944,Standard4
EGF,1,0.05,0.99,744.8984375,574.4326949995145,915.3641800004855,Standard5
EGF,1,0.05,0.99,322.859375,227.85269505945595,417.866054940544,Standard6
FLT3L,1,0.05,0.99,49708.125,11966.791264619605,87449.4587353804,Standard1
FLT3L,1,0.05,0.99,10982.9453125,1672.6346296116644,20293.255995388336,Standard2
FLT3L,1,0.05,0.99,2454.6984126984125,1296.1255182544085,3613.271307142417,Standard3
FLT3L,1,0.05,0.99,812.008064516129,405.23251273127016,1218.783616300988,Standard4
FLT3L,1,0.05,0.99,350.9047619047619,273.58284240458954,428.2266814049343,Standard5
FLT3L,1,0.05,0.99,240.890625,205.44545534071588,276.33579465928415,Standard6
HGF,1,0.05,0.99,84116.609375,67433.19102694817,100800.02772305183,Standard1
HGF,1,0.05,0.99,30684.0625,20456.772088163623,40911.35291183638,Standard2
HGF,1,0.05,0.99,6266.6875,4757.543014298292,7775.831985701708,Standard3
HGF,1,0.05,0.99,939.4765625,696.4498020496741,1182.503322950326,Standard4
HGF,1,0.05,0.99,181.1328125,128.22392303254287,234.04170196745713,Standard5
HGF,1,0.05,0.99,73.515625,51.16043014222608,95.87081985777391,Standard6
IL-1 R2,1,0.05,0.99,29085.90625,25716.88634675043,32454.92615324957,Standard1
IL-1 R2,1,0.05,0.99,12918.859375,10905.934373774637,14931.784376225363,Standard2
IL-1 R2,1,0.05,0.99,3832.5625,2891.9741098153963,4773.150890184604,Standard3
IL-1 R2,1,0.05,0.99,1077.0390625,821.8764075621071,1332.2017174378927,Standard4
IL-1 R2,1,0.05,0.99,338.671875,257.88827205172737,419.45547794827263,Standard5
IL-1 R2,1,0.05,0.99,155.65625,112.92634737876082,198.38615262123918,Standard6
IL-6,1,0.05,0.99,64952.8671875,52153.974181436795,77751.76019356321,Standard1
IL-6,1,0.05,0.99,23358.809523809523,18146.989645810812,28570.629401808234,Standard2
IL-6,1,0.05,0.99,5857.296875,4432.417441279115,7282.176308720885,Standard3
IL-6,1,0.05,0.99,1428.171875,1046.626758647698,1809.716991352302,Standard4
IL-6,1,0.05,0.99,381.0859375,277.25668225986544,484.91519274013456,Standard5
IL-6,1,0.05,0.99,128.9609375,88.18974770251776,169.73212729748224,Standard6
