assay,panel,alpha,p,x_bar,x2_sided_lower,x2_sided_upper,xponent_id
AFP,1,0.05,0.99,90.47688952614764,34.41908061551451,146.5346984367808,Standard1
AFP,1,0.05,0.99,105.21780067916995,74.4317917972685,136.0038095610714,Standard2
AFP,1,0.05,0.99,100.16831766384807,73.30122935798543,127.03540596971071,Standard3
AFP,1,0.05,0.99,95.23290676122713,69.2776280198069,121.18818550264736,Standard4
AFP,1,0.05,0.99,94.12535942823885,60.982811918393836,127.26790693808387,Standard5
AFP,1,0.05,0.99,101.75287164943417,38.27123224023258,165.23451105863575,Standard6
CA15-3,1,0.05,0.99,65.3244309828029,-16.06413212816939,146.7129940937752,Standard1
CA15-3,1,0.05,0.99,112.06468525840738,62.04721134204838,162.0821591747664,Standard2
CA15-3,1,0.05,0.99,103.39362037028891,81.23963128523668,125.54760945534115,Standard3
CA15-3,1,0.05,0.99,91.70470275926256,73.53476067660063,109.87464484192449,Standard4
CA15-3,1,0.05,0.99,97.94060681162304,78.46882619206558,117.4123874311805,Standard5
CA15-3,1,0.05,0.99,100.9670082069927,44.87762073257624,157.05639568140916,Standard6
CCL20,1,0.05,0.99,75.35869110363615,67.34247862783879,83.37490357943351,Standard1
CCL20,1,0.05,0.99,115.51063320489676,29.33883505938246,201.68243135041106,Standard2
CCL20,1,0.05,0.99,85.626205190332,34.6021950817351,136.6502152989289,Standard3
CCL20,1,0.05,0.99,88.20380225199546,50.07506137506505,126.33254312892586,Standard4
CCL20,1,0.05,0.99,102.97644202468754,17.661032592385737,188.29185145698935,Standard5
CCL20,1,0.05,0.99,100.18181622519712,95.37269735042948,104.99093509996477,Standard6
EGF,1,0.05,0.99,94.936121631284,55.43580890042525,134.43643436214273,Standard1
EGF,1,0.05,0.99,104.2353132449793,81.74733568074089,126.7232908092177,Standard2
EGF,1,0.05,0.99,98.82593787715986,75.09606616423412,122.5558095900856,Standard3
EGF,1,0.05,0.99,96.31432576584173,72.68265134905101,119.94600018263245,Standard4
EGF,1,0.05,0.99,95.34195443040733,66.07928170551219,124.60462715530247,Standard5
EGF,1,0.05,0.99,101.40161189831566,41.1988177675364,161.60440602909495,Standard6
FLT3L,1,0.05,0.99,92.3439001399878,28.651987763936503,156.03581251603907,Standard1
FLT3L,1,0.05,0.99,94.06428949269242,21.043813413671288,167.08476557171355,Standard2
FLT3L,1,0.05,0.99,90.37926359820186,47.23459435348758,133.52393284291614,Standard3
FLT3L,1,0.05,0.99,104.27703726260124,36.148839521131094,172.4052350040714,Standard4
FLT3L,1,0.05,0.99,94.56404659569128,37.44332027363891,151.68477291774366,Standard5
FLT3L,1,0.05,0.99,101.24740702123354,82.91780037476718,119.5770136676999,Standard6
HGF,1,0.05,0.99,96.46352643251382,61.14785235378702,131.77920051124062,Standard1
HGF,1,0.05,0.99,100.36321545238346,66.13757789675005,134.58885300801688,Standard2
HGF,1,0.05,0.99,101.86933402313103,82.90488599172141,120.83378205454065,Standard3
HGF,1,0.05,0.99,97.09475241401653,77.62443284203215,116.5650719860009,Standard4
HGF,1,0.05,0.99,92.41829844301351,63.728765059244964,121.10783182678206,Standard5
HGF,1,0.05,0.99,102.04982644897282,35.708191195997344,168.3914617019483,Standard6
IL-1 R2,1,0.05,0.99,97.32511204802924,69.28897969603219,125.3612444000263,Standard1
IL-1 R2,1,0.05,0.99,102.37518500248396,81.69368805095641,123.05668195401151,Standard2
IL-1 R2,1,0.05,0.99,98.98865778483157,72.07987411281266,125.89744145685049,Standard3
IL-1 R2,1,0.05,0.99,96.85013340623462,70.8486849366523,122.85158187581693,Standard4
IL-1 R2,1,0.05,0.99,94.2450975141499,63.33077611815429,125.15941891014552,Standard5
IL-1 R2,1,0.05,0.99,101.64472869230052,38.71925269443125,164.5702046901698,Standard6
IL-6,1,0.05,0.99,96.89718773355125,65.46764151005081,128.3267339570517,Standard1
IL-6,1,0.05,0.99,102.56401725496693,77.40660415614337,127.72143035379048,Standard2
IL-6,1,0.05,0.99,98.68192120556765,74.75272621999979,122.61111619113551,Standard3
IL-6,1,0.05,0.99,96.80051029497965,70.79044335324026,122.81057723671903,Standard4
IL-6,1,0.05,0.99,97.56871898631194,68.1695507081129,126.96788726451098,Standard5
IL-6,1,0.05,0.99,100.82155396261341,53.05599101174682,148.58711691348,Standard6
IL-8,1,0.05,0.99,93.785486766531,50.27093339726511,137.30004013579688,Standard1
IL-8,1,0.05,0.99,101.7580343545953,49.267726909164594,154.248341800026,Standard2
IL-8,1,0.05,0.99,96.083068676236607,55.11763413392068,137.04850321855253,Standard3
IL-8,1,0.05,0.99,97.11866338406587,54.88759972232597,139.34972704580576,Standard4
IL-8,1,0.05,0.99,96.71360525381564,58.5179206443117,134.9092898633196,Standard5
IL-8,1,0.05,0.99,101.06110935345826,52.04429570428834,150.07792300262818,Standard6
KLK3,1,0.05,0.99,94.39020428001324,55.09991970229436,133.68048885773212,Standard1
KLK3,1,0.05,0.99,101.24979122329017,44.71450697686779,157.78507546971255,Standard2
KLK3,1,0.05,0.99,93.25834948122022,48.348246166234965,138.16845279620549,Standard3
KLK3,1,0.05,0.99,97.67783161028983,38.33688122968627,157.0187819908934,Standard4
KLK3,1,0.05,0.99,94.93361394689238,54.55023029222661,135.31699760155814,Standard5
KLK3,1,0.05,0.99,101.49396230569883,46.54514828066004,156.44277633073762,Standard6
MUC-16,1,0.05,0.99,86.66461749757575,73.46902440151379,99.8602105936377,Standard1
MUC-16,1,0.05,0.99,108.59394663246509,91.44632206462106,125.74157120030912,Standard2
MUC-16,1,0.05,0.99,106.65969785220689,81.77211383096238,131.5472818734514,Standard3
MUC-16,1,0.05,0.99,97.89831863385712,69.71367101276519,126.08296625494904,Standard4
MUC-16,1,0.05,0.99,88.93578310583729,56.12655073949367,121.74501547218091,Standard5
MUC-16,1,0.05,0.99,102.75583932362909,80.93868146217582,124.57299718508236,Standard6
OPN,1,0.05,0.99,95.05155102639137,54.91030955240695,135.1927925003758,Standard1
OPN,1,0.05,0.99,102.3320666846185,70.99902751949406,133.66510584974293,Standard2
OPN,1,0.05,0.99,101.4052247361286,72.09325851702282,130.71719095523437,Standard3
OPN,1,0.05,0.99,91.6417178938848,55.66567608020679,127.61775970756281,Standard4
OPN,1,0.05,0.99,91.72848664247702,51.84724697984273,131.6097263051113,Standard5
OPN,1,0.05,0.99,102.56438008436724,22.231373877980317,182.89738629075418,Standard6
CEA,2,0.05,0.99,93.51341569781471,79.21142085249774,107.81541054313168,Standard1
CEA,2,0.05,0.99,105.65292869196098,86.88138780890344,124.42446957501852,Standard2
CEA,2,0.05,0.99,101.31113335326926,80.40825714265611,122.2140095638824,Standard3
CEA,2,0.05,0.99,99.68876945582046,73.00251528567972,126.3750236259612,Standard4
CEA,2,0.05,0.99,90.85941039198684,48.94283259071552,132.77598819325817,Standard5
CEA,2,0.05,0.99,102.2594367041881,71.61348273985168,132.90539066852455,Standard6
IL-6Ra,2,0.05,0.99,95.36051637472893,57.70142918495107,133.01960356450678,Standard1
IL-6Ra,2,0.05,0.99,97.68066316192983,44.35736919321209,151.00395713064756,Standard2
IL-6Ra,2,0.05,0.99,99.2226320377379,40.79988099086004,157.64538308461576,Standard3
IL-6Ra,2,0.05,0.99,94.80233401124107,46.46220783507408,143.14246018740806,Standard4
IL-6Ra,2,0.05,0.99,89.04889792477726,45.826814613103785,132.27098123645075,Standard5
IL-6Ra,2,0.05,0.99,103.08349729693893,28.19912854394535,177.96786604993252,Standard6
MIF,2,0.05,0.99,96.36199584899785,80.42286399823121,112.30112769976449,Standard1
MIF,2,0.05,0.99,108.06908887925206,92.25471097886073,123.8834667796434,Standard2
MIF,2,0.05,0.99,93.8866640045388,79.73697094521506,108.03635706386254,Standard3
MIF,2,0.05,0.99,74.97942266748022,53.85104208612326,96.10780324883719,Standard4
MIF,2,0.05,0.99,73.21346102709997,37.86468425734103,108.56223779685891,Standard5
MIF,2,0.05,0.99,108.22421488848218,-45.15354834593768,261.60197812290204,Standard6
THBS2,2,0.05,0.99,92.00522408390904,74.80909758636611,109.20135058145198,Standard1
THBS2,2,0.05,0.99,106.1307800939082,86.34566295162011,125.91589723619629,Standard2
THBS2,2,0.05,0.99,102.66254562858572,80.35682203245396,124.96826922471747,Standard3
THBS2,2,0.05,0.99,98.55917715502542,65.15701255790054,131.9613417521503,Standard4
THBS2,2,0.05,0.99,90.02328757363179,42.05998670591196,137.98658844135161,Standard5
THBS2,2,0.05,0.99,102.51525638520818,77.17879099926759,127.85172177114876,Standard6
TNC,2,0.05,0.99,65.60173337225194,59.035913934427576,72.1675528100763,Standard1
TNC,2,0.05,0.99,116.54142335379117,83.16276571392001,149.92008099366234,Standard2
TNC,2,0.05,0.99,107.48702079087275,41.41899285469343,173.55504872705205,Standard3
TNC,2,0.05,0.99,89.23095876454502,39.275949875606685,139.18596765348337,Standard4
TNC,2,0.05,0.99,76.73319450455008,26.41397009086114,127.05241891823903,Standard5
TNC,2,0.05,0.99,106.32982954957285,44.41178884147613,168.24787025766958,Standard6
WFDC2,2,0.05,0.99,93.64575300566659,49.63221396561144,137.65929204572174,Standard1
WFDC2,2,0.05,0.99,104.28264454971553,88.29450864676855,120.2707804526625,Standard2
WFDC2,2,0.05,0.99,102.36180134381044,86.39280478901597,118.33079789860491,Standard3
WFDC2,2,0.05,0.99,93.34173026523737,74.4826834890875,112.20077704138724,Standard4
WFDC2,2,0.05,0.99,90.55999517480107,65.27403914462943,115.84595120497272,Standard5
WFDC2,2,0.05,0.99,102.75539177469932,20.92232125234925,184.58846229704938,Standard6
cMET,2,0.05,0.99,95.93132590250785,60.29847022247962,131.5641815825361,Standard1
cMET,2,0.05,0.99,102.52869122136795,75.44610373856473,129.61127870417118,Standard2
cMET,2,0.05,0.99,98.25457265804506,68.62682016145735,127.88232515463278,Standard3
cMET,2,0.05,0.99,98.4493352244619,72.13235008500189,124.76632036392192,Standard4
cMET,2,0.05,0.99,96.26088454019839,65.84045715466475,126.68131192573203,Standard5
cMET,2,0.05,0.99,101.06978953750881,55.41393266719998,146.72564640781764,Standard6
uPAR,2,0.05,0.99,92.39708432333062,81.80873176384169,102.98543688281954,Standard1
uPAR,2,0.05,0.99,107.3387961177107,90.06104878437759,124.61654345104381,Standard2
uPAR,2,0.05,0.99,99.92259256388584,72.9143442054072,126.93084092236448,Standard3
uPAR,2,0.05,0.99,99.0734800014705,67.79954311644106,130.34741688649996,Standard4
uPAR,2,0.05,0.99,91.74555521602652,47.53341396520508,135.95769646684795,Standard5
uPAR,2,0.05,0.99,102.0909122751629,74.028168188482,130.15365636184382,Standard6
